File: search_insert_delete
Type: cpu
Time: Oct 9, 2018 at 9:20pm (PDT)
Duration: 206.22ms, Total samples = 2200us ( 1.07%)
Showing nodes accounting for 2200us, 100% of 2200us total
      flat  flat%   sum%        cum   cum%
     500us 22.73% 22.73%      500us 22.73%  runtime.pthread_cond_wait
     300us 13.64% 36.36%      300us 13.64%  runtime.cgocall
     200us  9.09% 45.45%      200us  9.09%  runtime.gentraceback
     200us  9.09% 54.55%      200us  9.09%  runtime.nanotime
     100us  4.55% 59.09%      100us  4.55%  compress/flate.(*deflateFast).encode
     100us  4.55% 63.64%      100us  4.55%  compress/flate.(*huffmanEncoder).generate
     100us  4.55% 68.18%      100us  4.55%  runtime.(*mspan).init (inline)
     100us  4.55% 72.73%      200us  9.09%  runtime.newobject
     100us  4.55% 77.27%      100us  4.55%  runtime.pthread_cond_signal
     100us  4.55% 81.82%      100us  4.55%  runtime.scanobject
     100us  4.55% 86.36%      100us  4.55%  runtime.stackpoolalloc
     100us  4.55% 90.91%      100us  4.55%  runtime.traceGCSTWDone
     100us  4.55% 95.45%      100us  4.55%  runtime.usleep
     100us  4.55%   100%      100us  4.55%  syscall.Syscall
         0     0%   100%      200us  9.09%  compress/flate.(*Writer).Close
         0     0%   100%      200us  9.09%  compress/flate.(*compressor).close
         0     0%   100%      200us  9.09%  compress/flate.(*compressor).encSpeed
         0     0%   100%      100us  4.55%  compress/flate.(*huffmanBitWriter).indexTokens
         0     0%   100%      100us  4.55%  compress/flate.(*huffmanBitWriter).writeBlockDynamic
         0     0%   100%      200us  9.09%  compress/gzip.(*Writer).Close
         0     0%   100%      100us  4.55%  fmt.Fprintf
         0     0%   100%      100us  4.55%  fmt.Printf
         0     0%   100%      100us  4.55%  fmt.glob..func1
         0     0%   100%      100us  4.55%  fmt.newPrinter
         0     0%   100%      100us  4.55%  internal/poll.(*FD).Close
         0     0%   100%      100us  4.55%  internal/poll.(*FD).decref
         0     0%   100%      100us  4.55%  internal/poll.(*FD).destroy
         0     0%   100%      100us  4.55%  io/ioutil.ReadFile
