File: fifo_barbershop_A
Type: cpu
Time: Oct 9, 2018 at 10:40pm (PDT)
Duration: 254.84ms, Total samples = 20.95ms ( 8.22%)
Showing nodes accounting for 19.46ms, 92.89% of 20.95ms total
Dropped 214 nodes (cum <= 0.10ms)
      flat  flat%   sum%        cum   cum%
    4.04ms 19.28% 19.28%     4.04ms 19.28%  runtime.pthread_cond_wait
    2.42ms 11.55% 30.84%     2.42ms 11.55%  runtime.usleep
    1.91ms  9.12% 39.95%     1.96ms  9.36%  runtime.stackpoolalloc
    1.82ms  8.69% 48.64%     1.82ms  8.69%  runtime.walltime
    1.43ms  6.83% 55.47%     1.43ms  6.83%  runtime.pthread_cond_signal
    1.28ms  6.11% 61.58%     1.28ms  6.11%  runtime.memmove
    0.79ms  3.77% 65.35%     0.79ms  3.77%  runtime.nanotime
    0.62ms  2.96% 68.31%     1.72ms  8.21%  main.runTracker.func1
    0.58ms  2.77% 71.07%     0.58ms  2.77%  runtime.freedefer
    0.53ms  2.53% 73.60%     1.05ms  5.01%  runtime.makechan
    0.32ms  1.53% 75.13%     0.38ms  1.81%  runtime.scanobject
    0.27ms  1.29% 76.42%     2.29ms 10.93%  runtime.malg.func1
    0.26ms  1.24% 77.66%     4.32ms 20.62%  runtime.newproc1
    0.26ms  1.24% 78.90%     0.26ms  1.24%  runtime.procyield
    0.24ms  1.15% 80.05%     0.24ms  1.15%  runtime.memclrNoHeapPointers
    0.23ms  1.10% 81.15%     0.23ms  1.10%  runtime.bulkBarrierPreWrite
    0.20ms  0.95% 82.10%     0.20ms  0.95%  runtime.pthread_cond_timedwait_relative_np
    0.20ms  0.95% 83.05%     0.20ms  0.95%  runtime.pthread_mutex_unlock
    0.17ms  0.81% 83.87%     0.17ms  0.81%  runtime.sigprocmask
    0.16ms  0.76% 84.63%     4.42ms 21.10%  runtime.semasleep
    0.15ms  0.72% 85.35%     0.15ms  0.72%  runtime.(*waitq).dequeue
    0.15ms  0.72% 86.06%     4.47ms 21.34%  runtime.newproc.func1
    0.13ms  0.62% 86.68%     0.83ms  3.96%  runtime.chansend
    0.12ms  0.57% 87.26%     0.18ms  0.86%  runtime.gfget
    0.11ms  0.53% 87.78%     0.11ms  0.53%  runtime.acquireSudog
    0.11ms  0.53% 88.31%     0.30ms  1.43%  runtime.chanrecv
    0.10ms  0.48% 88.78%     0.43ms  2.05%  runtime.runqgrab
    0.09ms  0.43% 89.21%     4.55ms 21.72%  main.main
    0.08ms  0.38% 89.59%     0.13ms  0.62%  runtime.findnull
    0.08ms  0.38% 89.98%     2.73ms 13.03%  runtime.findrunnable
    0.08ms  0.38% 90.36%     0.46ms  2.20%  runtime.unlock
